position=8.435216845657884	weight=0.002821042522665268
position=1.192377377751146	weight=0.017706698401153867
position=6.125567150376108	weight=0.006091254804629596
position=0.513886725706284	weight=0.012726083912677764
position=2.903543103054258	weight=0.014335602941655175
position=5.947715054778709	weight=0.005262666638664351
position=5.7597509323220155	weight=0.007698882093379903
position=3.4526614146836456	weight=0.005212255750967271
position=6.9602896422083615	weight=0.018819302708843424
position=0.41581226387575776	weight=0.010800205696777636
position=4.73135891880757	weight=0.01667792247070714
position=2.5344290109579957	weight=0.01883204372506763
position=5.7362675657786415	weight=0.00807323913624196
position=0.8845995656087857	weight=0.018441876023286816
position=6.213227708695957	weight=0.007286515813515919
position=8.41970330111205	weight=0.002845597031998094
position=9.507530272599908	weight=0.0025559929929804127
position=0.9303561800627003	weight=0.01871317911659487
position=4.383648343777269	weight=0.010187480706927236
position=4.956644220315891	weight=0.018809456234687223
position=7.123162484094189	weight=0.018383151661586786
position=8.345396806968957	weight=0.002992808095340545
position=3.591004567114976	weight=0.004064996690965538
position=4.818506079914861	weight=0.017830498739505755
position=6.6795512017317	weight=0.015841713553382625
position=3.9476369333444037	weight=0.004336861582608317
position=2.7179302072014466	weight=0.017392309218263506
position=1.857098129664978	weight=0.009693870013232617
position=4.369181337035199	weight=0.009917001097988766
position=5.497436231406545	weight=0.012502064476198725
position=0.44353158508471435	weight=0.011338380631689722
position=6.800982860392039	weight=0.017628156110064564
position=7.051137718937902	weight=0.018785569990656815
position=9.956888643153809	weight=0.0025559370255059176
position=3.1276138771533613	weight=0.00997661564617249
position=0.5931468282394148	weight=0.01427257502253335
position=4.02212981131518	weight=0.004965893147525706
position=5.148993933684678	weight=0.018162172022540037
position=3.3787392900020308	weight=0.006038273001354706
position=0.1414025599622104	weight=0.00629071990508178
position=8.711005435746838	weight=0.0026026833727037474
position=7.508911555286316	weight=0.012274977917350294
position=4.018336421269031	weight=0.004930330406536474
position=4.545789073645699	weight=0.01335493937878431
position=1.5763509673701082	weight=0.010951539049948495
position=6.06675927721473	weight=0.005414137683384163
position=9.115972354388843	weight=0.002558043359633764
position=5.970757754724657	weight=0.005033629121742602
position=1.3559257040035366	weight=0.015219169052516896
position=4.061190209006246	weight=0.005355157927499029
position=1.0462838192091373	weight=0.018800926406734392
position=8.245943520991775	weight=0.003287419397048653
position=2.9983080614927538	weight=0.012484810597249145
position=8.655243504617612	weight=0.002623981122594642
position=0.10596424118382908	weight=0.005854440664403917
position=8.00783971729015	weight=0.004695468652669943
position=7.101282495690749	weight=0.018539367831123907
position=6.110730634815907	weight=0.005910994137991666
position=1.129582893502773	weight=0.018331868370089998
position=7.7357087189856735	weight=0.008082323775222442
position=7.488129254571887	weight=0.012686212841498137
position=4.474687079750811	weight=0.011950785949781901
position=9.755913127364177	weight=0.0025559407368723024
position=7.3885763927023484	weight=0.0146182464134262
position=0.6721216408273423	weight=0.015714338584980093
position=8.341179383820913	weight=0.0030028209997144755
position=9.52182840349102	weight=0.002555985440108922
position=1.5161731908518228	weight=0.012131356616151327
position=3.3911781771797544	weight=0.005888266873087824
position=0.5740313374760186	weight=0.013905398383619795
position=9.798724239794021	weight=0.0025559391749851324
position=1.695203405639103	weight=0.008761544455614922
position=2.1387560392849467	weight=0.015122939072382833
position=4.010788567982751	weight=0.004860728556360822
position=3.736805910039261	weight=0.003321373283435751
position=9.933335057550549	weight=0.002555937158307956
position=1.673709887655851	weight=0.009137674973619463
position=2.115516925451335	weight=0.01469482791467292
position=4.84547930410078	weight=0.01810990229295238
position=7.286823626197996	weight=0.01639552680809889
position=7.860989158512109	weight=0.006260125318745761
position=1.3077866574541652	weight=0.016054775476611854
position=0.6134720990214004	weight=0.014656612242135523
position=3.3536936782715	weight=0.006353968968678055
position=3.8766765654594213	weight=0.0038637516651048756
position=9.267467983206135	weight=0.0025564948325830254
position=1.6601950367263951	weight=0.009379309797538468
position=6.532922183705805	weight=0.013101925123581755
position=7.80501991146617	weight=0.0070195330117539916
position=2.8997198848406205	weight=0.014408177474662229
position=5.31025875918033	weight=0.016013589462891407
position=1.9810786516452217	weight=0.012077034753212595
position=3.9617459782115763	weight=0.004445084919213112
position=6.841831024787698	weight=0.018074455462460445
position=3.1959356277855955	weight=0.008748914977266138
position=4.051398043791652	weight=0.005253577326466049
position=9.897088022992456	weight=0.002555937446616997
position=8.40332571621696	weight=0.0028736590187070587
position=3.5177588986181774	weight=0.004611197047589567
position=2.6662739587778086	weight=0.0179930545636606
